Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Атаманчук,Ілля,Миколайович,Чоловіча,24.11.1986,Астронавт,село Сокиряни,"парк Лінія 44-та, буд. 991 кв. 5, Калуш, 73696",+380 80 839-78-85,varvarahuzii@example.org
Жадан,Аркадій,Сергійович,Чоловіча,16.12.1959,Продюсер,селище Старобільськ,"провулок Писарева, буд. 3 кв. 42, Болехів, 61185",065 162-63-37,stereshchenko@example.com
Єременко,Спас,Вікторович,Чоловіча,18.02.2002,Єгер,селище Богодухів,"площа Шкіперська, буд. 754 кв. 931, Шаргород, 49979",+380 62 862-38-06,hlib61@example.com
Лисенко,Данна,Михайлівна,Жіноча,29.04.1970,Сценарист,селище Вуглегірськ,"узвіз Амундсена, 1-й, буд. 4, Комарно, 58231",+380 24 557-07-61,khoma06@example.com
Гузенко,Юхим,Васильович,Чоловіча,07.12.1991,Гицель,місто Рава-Руська,"набережна 13-та ст. Великого Фонтану пляж, буд. 6 кв. 684, Васильків, 95323",+380 05 202-09-35,iaremenkoiryna@example.net
Штепа,Петро,Іванович,Чоловіча,11.05.1999,Електрик,хутір Нікополь,"проспект Басейний 6-й, буд. 91 кв. 727, Вишневе , 03389",+380 (22) 139-39-77,prokhir04@example.org
Батіг,Камілла,Іванівна,Жіноча,04.06.1949,Ді-джей,хутір Снігурівка,"шосе Леха Качинського, буд. 5 кв. 11, Сулимівка (Слов'янськ), 18705",058 329 05 72,riabchenkoroman@example.net
Канівець,Орест,Іванович,Чоловіча,07.01.1988,Нотаріус,село Чернігів,"узвіз Професора Каришковського, буд. 0, Феодосія, 43530",+380 49 423-12-40,tereza79@example.net
Ващенко,Федір,Володимирович,Чоловіча,13.02.1976,Художник,село Бобровиця,"провулок Жевахова, буд. 288, Пирятин, 71862",075 908 64 65,kchalenko@example.com
Міщенко,Віктор,Олександрович,Чоловіча,19.06.1996,Кушнір,хутір Кіцмань,"провулок Корнюшина, буд. 2 кв. 09, Очаків, 01917",042 422 46 33,feofan71@example.org
Тихий,Галина,Іванівна,Жіноча,25.11.1959,Астронавт,селище Рудки,"провулок Південна, буд. 2 кв. 61, Миргород, 90574",+380 22 520 13 79,ishvachka@example.com
Джунь,Клавдія,Миколаївна,Жіноча,11.04.2004,Правник,місто Ірміно,"узвіз Тупиковий 2-й, буд. 9 кв. 1, Кременець, 72662",663 13 56,kanivetsmaryna@example.com
Ґалаґан,Мирон,Володимирович,Чоловіча,03.06.1986,Державний службовець,хутір Бібрка,"проспект Проектна 1-ша, буд. 80, Кременчук, 43908",+380 46 992 52 60,qchumachenko@example.org
Атрощенко,Вадим,Васильович,Чоловіча,25.04.2004,Промисловець,місто Красноград,"вулиця Асєєва Юрія, буд. 80, Сєвєродонецьк, 46860",+380 93 971-93-80,tsiutsiuradanna@example.com
Корсун,Єлисавета,Іванівна,Жіноча,14.04.1973,Гицель,хутір Горішні Плавні,"провулок Шухевича Романа, буд. 0, Добромиль, 58745",743-26-54,dchumak@example.com
Гуцуляк,Клавдія,Іванівна,Жіноча,02.11.1990,Прокурор,місто Носівка,"площа Акордна, буд. 77, Чортків, 23362",+380 65 332 10 79,stepan94@example.com
Ґоляш,Варвара,Миколаївна,Жіноча,10.04.1955,Співак,селище Вільнянськ,"провулок Ткачова, буд. 11 кв. 881, Коростень, 77063",+380 85 190-28-03,jsheremet@example.org
Лавренко,Марта,Сергіївна,Жіноча,20.11.1947,Будник,хутір Броди,"сквер Олександра Матросова, буд. 918, Покровськ, 25488",375-38-62,stanislavhavriushenko@example.net
Демʼянюк,Ольга,Вікторівна,Жіноча,19.09.1966,Медик,село Надвірна,"набережна Молокова, буд. 6, Деражня, 37927",+380 79 298-20-01,andrusenkodavyd@example.org
Шморгун,Ярослав,Миколайович,Чоловіча,07.06.1973,Математик,місто Малин,"сквер Сєченова, буд. 24, Новоселиця, 95321",525 72 42,lukianzatula@example.net
Дзюба,Лариса,Сергіївна,Жіноча,15.12.1941,Прокурор,хутір Голубівка,"проспект Калинова, буд. 953, Сміла, 72516",+380 17 690-13-72,frubets@example.org
Щорс,Ілля,Іванович,Чоловіча,16.11.1949,Кухар,місто Козятин,"сквер Лінія 55-та, буд. 9 кв. 9, Канів, 05078",246 17 21,uvelychko@example.net
Шутько,Юхим,Васильович,Чоловіча,25.08.1968,Бізнесмен,місто Старокостянтинів,"парк Амурський 2-й, буд. 10 кв. 8, Тлумач, 46403",+380 33 270-25-37,daryna18@example.net
Аронець,Еріка,Василівна,Жіноча,07.10.1955,Режисер,село Гадяч,"узвіз Лінія 38-ма, буд. 41 кв. 9, Снігурівка, 57921",+380 67 438-32-75,danylo60@example.net
Франчук,Роман,Миколайович,Чоловіча,01.11.1979,Швачка,село Лубни,"проспект Наявний 7-й, буд. 0 кв. 806, Дубляни, 87562",+380 47 168 67 08,venedykt70@example.com
Шовкопляс,Роман,Михайлович,Чоловіча,22.07.1947,Менеджер,село Ялта,"вулиця Бузкова, буд. 948, Заставна, 87319",+380 (19) 683-63-48,shevchenkodmytro@example.net
Ляшко,Станіслав,Васильович,Чоловіча,15.11.1944,Співак,місто Ізяслав,"узвіз Лиманчик 2-й Лінія 3-тя, буд. 8, Соснівка , 14534",+380 87 906-86-83,venedykttsiutsiura@example.net
Шинкаренко,Олесь,Вікторович,Чоловіча,15.09.1941,Підприємець,селище Новодружеськ,"вулиця Іспанська, буд. 8 кв. 00, Люботин, 32969",024 585 88 94,leonidchumak@example.com
Цимбал,Мілена,Василівна,Жіноча,10.02.1978,Піаніст,місто Карлівка,"шосе Ф. Пішеніна, буд. 32, Березівка, 53428",082 833-43-66,arsen65@example.org
Чекалюк,Віра,Вікторівна,Жіноча,11.09.1986,Етнограф,хутір Фастів,"площа Пiвденний, буд. 4 кв. 7, Бахмач, 27155",474-90-69,ybarannyk@example.net
Семенченко,Демид,Олександрович,Чоловіча,14.11.1987,Локсмайстер,селище Новомиргород,"парк 1-ша Суворовська, буд. 8, Кодима, 79330",+380 58 568 55 32,snizhana79@example.net
Тихий,Ярослава,Володимирівна,Жіноча,03.02.1960,Правник,місто Ківерці,"парк Бірюкова, буд. 5, Тлумач, 57808",+380 57 884-13-96,shmorhunmariana@example.org
Савенко,Анастасія,Михайлівна,Жіноча,09.06.2000,Клоун,селище Сокиряни,"проспект Івахненка Петра, буд. 4 кв. 8, Селидове, 22746",+380 84 399 31 41,vernyhoraiukhym@example.net
Вертипорох,Мирон,Сергійович,Чоловіча,13.01.2004,Фермер,хутір Кадіївка,"сквер Лесі Українки, буд. 1 кв. 232, Комарно, 78807",+380 (30) 122-52-79,erubets@example.com
Михайличенко,Тетяна,Василівна,Жіноча,24.12.1994,Живописець,хутір Моршин,"набережна Чорноморський 6-й, буд. 2 кв. 71, Любомль, 66435",937 72 27,iefrem85@example.org
Яремчук,Кирило,Володимирович,Чоловіча,06.09.1989,Електромонтер,село Дніпро ,"сквер Залізнична, буд. 300, Тернівка , 70076",080 573-40-44,shvedchenkoliudmyla@example.org
Вакарчук,Михайлина,Вікторівна,Жіноча,06.09.1941,Гірничий інженер,хутір Моспине,"проспект Черешнева, буд. 55, Заводське, 06349",+380 10 365-80-79,svystunsviatoslava@example.com
Дацюк,Демʼян,Вікторович,Чоловіча,25.12.1968,Пекар,хутір Березань ,"узвіз Посівна, буд. 705 кв. 34, Канів, 94677",354-62-17,iarynafranchuk@example.net
Стус,Руслан,Васильович,Чоловіча,26.01.1981,Секретар,місто Лозова ,"шосе Пантелеймонівська, буд. 948 кв. 330, Моршин, 77004",657 28 95,lytvynedyta@example.net
Гаврилишин,Єлисей,Володимирович,Чоловіча,07.10.1938,Геофізик,місто Джанкой,"проспект Героїв оборони Одеси, буд. 949 кв. 4, Генічеськ, 47272",057 460-06-94,spas80@example.net
Байрак,Оксана,Олександрівна,Жіноча,16.12.1990,Клавішник,місто Устилуг,"вулиця Топольського, буд. 6 кв. 6, Сколе, 61713",+380 26 742-19-76,amaliiahuk@example.org
